id,canonical_name,category,default_storage_type,common_unit,aliases
veg-onion,양파,채소,냉장,piece,흰양파|적양파
veg-green-onion,대파,채소,냉장,piece,파|굵은파|쪽파
veg-garlic,마늘,채소,냉장,g,통마늘|깐마늘
veg-potato,감자,채소,실온,piece,수미감자
veg-sweet-potato,고구마,채소,실온,piece,밤고구마|호박고구마
veg-carrot,당근,채소,냉장,piece,
veg-zucchini,애호박,채소,냉장,piece,
veg-cucumber,오이,채소,냉장,piece,
veg-cabbage,양배추,채소,냉장,piece,
veg-kimchi-cabbage,배추,채소,냉장,piece,
veg-radish,무,채소,냉장,piece,조선무
veg-broccoli,브로콜리,채소,냉장,piece,
veg-mushroom,버섯,채소,냉장,pack,양송이버섯|느타리버섯|표고버섯
veg-spinach,시금치,채소,냉장,bag,
veg-paprika,파프리카,채소,냉장,piece,빨강 파프리카|노랑 파프리카
veg-lettuce,상추,채소,냉장,bag,
veg-perilla-leaf,깻잎,채소,냉장,pack,
veg-bean-sprout,콩나물,채소,냉장,bag,
veg-sprout,숙주,채소,냉장,bag,숙주나물
veg-tomato-cherry,방울토마토,채소,냉장,pack,체리토마토
fruit-apple,사과,과일,실온,piece,
fruit-pear,배,과일,실온,piece,신고배
fruit-banana,바나나,과일,실온,piece,
fruit-strawberry,딸기,과일,냉장,pack,
fruit-orange,오렌지,과일,실온,piece,
fruit-tangerine,귤,과일,실온,piece,
fruit-lemon,레몬,과일,냉장,piece,
fruit-lime,라임,과일,냉장,piece,
fruit-grape,포도,과일,냉장,pack,
fruit-blueberry,블루베리,과일,냉장,pack,
fruit-kiwi,키위,과일,실온,piece,
fruit-mango,망고,과일,실온,piece,
fruit-pineapple,파인애플,과일,실온,piece,
fruit-avocado,아보카도,과일,실온,piece,
meat-beef,소고기,육류,냉장,g,국거리
meat-pork,돼지고기,육류,냉장,g,앞다리살|뒷다리살
meat-pork-belly,삼겹살,육류,냉장,g,
meat-pork-neck,목살,육류,냉장,g,
meat-beef-bulgogi,불고기용 소고기,육류,냉장,g,불고기
meat-chicken,닭고기,육류,냉장,g,닭정육
meat-chicken-breast,닭가슴살,육류,냉장,pack,
meat-chicken-leg,닭다리,육류,냉장,piece,
meat-duck,오리고기,육류,냉장,g,
meat-bacon,베이컨,육류,냉장,pack,
meat-ham,햄,육류,냉장,pack,슬라이스햄
meat-sausage,소시지,육류,냉장,pack,비엔나
sea-mackerel,고등어,수산물,냉장,piece,
sea-salmon,연어,수산물,냉장,g,
sea-tuna,참치,수산물,냉장,g,생참치
sea-shrimp,새우,수산물,냉장,g,
sea-squid,오징어,수산물,냉장,piece,
sea-octopus,문어,수산물,냉장,piece,
sea-anchovy,멸치,수산물,실온,g,국물멸치
sea-kelp,다시마,수산물,실온,sheet,
sea-seaweed,미역,수산물,실온,g,
sea-clam,바지락,수산물,냉장,pack,
sea-pollack-roe,명란,수산물,냉장,pack,명란젓
sea-fishcake,어묵,수산물,냉장,pack,
dairy-milk,우유,유제품,냉장,ml,
dairy-soy-milk,두유,유제품,냉장,ml,
dairy-cheese,치즈,유제품,냉장,pack,슬라이스치즈
dairy-mozzarella,모짜렐라치즈,유제품,냉장,pack,모짜렐라
dairy-butter,버터,유제품,냉장,g,
dairy-yogurt,요거트,유제품,냉장,cup,플레인요거트
dairy-whipping-cream,생크림,유제품,냉장,ml,휘핑크림
dairy-egg,계란,계란·난류,냉장,piece,달걀
dairy-tofu,두부,콩·두부,냉장,block,
dairy-cream-cheese,크림치즈,유제품,냉장,g,
dairy-mayonnaise,마요네즈,유제품,냉장,g,
dairy-parmesan,파마산치즈,유제품,냉장,g,파마산
frozen-dumpling,냉동만두,냉동식품,냉동,bag,
frozen-rice,냉동볶음밥,냉동식품,냉동,pack,
frozen-pizza,냉동피자,냉동식품,냉동,piece,
frozen-udon,냉동우동면,냉동식품,냉동,pack,
frozen-shrimp,냉동새우,냉동식품,냉동,bag,
frozen-squid,냉동오징어,냉동식품,냉동,bag,
frozen-chicken,냉동닭가슴살,냉동식품,냉동,pack,
frozen-pork-cutlet,냉동돈까스,냉동식품,냉동,pack,
frozen-fishcake,냉동어묵,냉동식품,냉동,pack,
frozen-vegetable-mix,냉동야채믹스,냉동식품,냉동,bag,
frozen-blueberry,냉동블루베리,냉동식품,냉동,bag,
frozen-fries,냉동감자튀김,냉동식품,냉동,bag,
season-soy-soup,국간장,조미료,실온,tbsp,조선간장
season-soy-dark,진간장,조미료,실온,tbsp,간장|양조간장
season-gochujang,고추장,조미료,실온,tbsp,
season-doenjang,된장,조미료,실온,tbsp,
season-ssamjang,쌈장,조미료,실온,tbsp,
season-salt,소금,조미료,실온,tsp,굵은소금|꽃소금
season-sugar,설탕,조미료,실온,tbsp,백설탕|갈색설탕
season-vinegar,식초,조미료,실온,tbsp,
season-sesame-oil,참기름,조미료,실온,tbsp,
season-perilla-oil,들기름,조미료,실온,tbsp,
season-pepper,후추,조미료,실온,tsp,후춧가루
season-pepper-powder,고춧가루,조미료,실온,tbsp,
season-oyster-sauce,굴소스,조미료,실온,tbsp,
season-curry,카레가루,조미료,실온,tbsp,
season-ketchup,케첩,조미료,실온,tbsp,토마토케첩
grain-rice,쌀,곡물/면/빵,실온,kg,
grain-brown-rice,현미,곡물/면/빵,실온,kg,
grain-flour,밀가루,곡물/면/빵,실온,g,
grain-starch,전분,곡물/면/빵,실온,g,감자전분|옥수수전분
grain-noodle,국수,곡물/면/빵,실온,g,
grain-ramen,라면,곡물/면/빵,실온,pack,
grain-pasta,파스타면,곡물/면/빵,실온,g,스파게티면
grain-udon,우동면,곡물/면/빵,냉장,pack,
grain-bread,식빵,곡물/면/빵,실온,slice,
grain-baguette,바게트,곡물/면/빵,실온,piece,
grain-breadcrumb,빵가루,곡물/면/빵,실온,g,
grain-ricecake,떡,곡물/면/빵,냉장,pack,떡국떡|떡볶이떡
proc-tuna-can,참치캔,통조림/가공식품,실온,can,참치 통조림
proc-corn-can,옥수수캔,통조림/가공식품,실온,can,
proc-beans-can,콩통조림,통조림/가공식품,실온,can,병아리콩|강낭콩
proc-spam,스팸,통조림/가공식품,실온,can,햄통조림
proc-kimchi,김치,통조림/가공식품,냉장,pack,배추김치
proc-pickle,피클,통조림/가공식품,냉장,bottle,
proc-olive,올리브,통조림/가공식품,냉장,bottle,
proc-jam,잼,통조림/가공식품,냉장,bottle,딸기잼|블루베리잼
proc-sauce-pasta,토마토소스,통조림/가공식품,실온,bottle,파스타소스
proc-stock,육수팩,통조림/가공식품,실온,pack,멸치육수팩
misc-water,생수,음료/기타,실온,bottle,
misc-sparkling-water,탄산수,음료/기타,실온,bottle,
misc-orange-juice,오렌지주스,음료/기타,냉장,ml,
misc-apple-juice,사과주스,음료/기타,냉장,ml,
misc-coffee,커피,음료/기타,실온,g,원두커피
misc-tea,티백,음료/기타,실온,pack,홍차|녹차
misc-nuts,견과류,음료/기타,실온,bag,아몬드|호두
misc-honey,꿀,음료/기타,실온,tbsp,
misc-syrup,올리고당,음료/기타,실온,tbsp,
misc-cocoa,코코아가루,음료/기타,실온,tbsp,
veg-chili-pepper,고추,채소,냉장,piece,청양고추|홍고추|풋고추
veg-eggplant,가지,채소,냉장,piece,
veg-garlic-chive,부추,채소,냉장,bag,영양부추
veg-minari,미나리,채소,냉장,bag,
veg-bok-choy,청경채,채소,냉장,bag,
veg-young-napa,알배추,채소,냉장,piece,알배기배추
veg-pumpkin-sweet,단호박,채소,실온,piece,
veg-lotus-root,연근,채소,냉장,g,
veg-burdock,우엉,채소,냉장,g,
veg-bracken,고사리,채소,냉장,pack,삶은고사리
veg-balloon-flower-root,도라지,채소,냉장,pack,
veg-chives,실파,채소,냉장,bag,잔파
meat-ground-pork,다진 돼지고기,육류,냉장,g,돼지고기 다짐육
meat-ground-beef,다진 소고기,육류,냉장,g,소고기 다짐육
meat-chicken-tenderloin,닭안심,육류,냉장,g,
meat-pork-rib,돼지갈비,육류,냉장,g,
sea-hairtail,갈치,수산물,냉장,piece,
sea-cod,대구,수산물,냉장,piece,
sea-pollack,동태,수산물,냉동,piece,명태
sea-dried-pollack,황태채,수산물,실온,g,북어채
frozen-tteokbokki,냉동떡볶이,냉동식품,냉동,pack,
frozen-hotdog,냉동핫도그,냉동식품,냉동,pack,
frozen-corn,냉동옥수수,냉동식품,냉동,bag,
frozen-spinach,냉동시금치,냉동식품,냉동,bag,
season-cooking-wine,맛술,조미료,실온,tbsp,미림|요리술
season-fish-sauce-anchovy,멸치액젓,조미료,실온,tbsp,
season-fish-sauce-sandlance,까나리액젓,조미료,실온,tbsp,
season-chicken-stock,치킨스톡,조미료,실온,tbsp,닭육수
season-sesame-seed,깨,조미료,실온,tsp,참깨|통깨
season-perilla-powder,들깨가루,조미료,실온,tbsp,
season-chili-oil,고추기름,조미료,실온,tbsp,
season-mustard,겨자,조미료,냉장,tsp,연겨자
season-plum-syrup,매실청,조미료,실온,tbsp,
grain-glass-noodle,당면,곡물/면/빵,실온,g,
grain-somen,소면,곡물/면/빵,실온,g,잔치국수면
grain-ramyeon-noodle,라면사리,곡물/면/빵,실온,pack,
grain-tortilla,또띠아,곡물/면/빵,냉장,pack,
grain-rice-paper,라이스페이퍼,곡물/면/빵,실온,pack,
grain-oatmeal,오트밀,곡물/면/빵,실온,g,
proc-tomato-can,토마토캔,통조림/가공식품,실온,can,홀토마토
proc-whelk-can,골뱅이캔,통조림/가공식품,실온,can,골뱅이 통조림
proc-pacific-saury-can,꽁치캔,통조림/가공식품,실온,can,꽁치 통조림
proc-mackerel-can,고등어캔,통조림/가공식품,실온,can,고등어 통조림
proc-chicken-breast-can,닭가슴살캔,통조림/가공식품,실온,can,
