inventory_key,inventory_scope,recipe_id,title,category,source,source_url,source_license,content_origin,difficulty,servings,prep_time,cook_time,total_time,ingredient_count,step_count,beginner_review_status,actual_cooking_test_status,image_rights_status,publish_status,last_reviewed_at,reviewer,source_record_status,source_type_original,source_type_app_projection,attribution,current_public_exposure
live_supabase:35bca2ce-d762-42d3-afbd-58d4c80d1c4c,live_supabase,35bca2ce-d762-42d3-afbd-58d4c80d1c4c,콩 판나코타,후식,mfds:1118,,,public_api,,,,,,6,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:4185b06c-f04b-4193-9aff-23f819992e09,live_supabase,4185b06c-f04b-4193-9aff-23f819992e09,현미 입은 미트볼,반찬,mfds:1079,,,public_api,,,,,,15,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:820ea99f-551e-4a96-8ac4-470439fdd496,live_supabase,820ea99f-551e-4a96-8ac4-470439fdd496,새우채소꼬치구이,반찬,mfds:1081,,,public_api,,,,,,6,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:bbab522a-09aa-4647-912b-79d15512f452,live_supabase,bbab522a-09aa-4647-912b-79d15512f452,시금치 볶음 쌀국수,일품,mfds:1080,,,public_api,,,,,,15,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:ec4994ce-db50-4406-8f83-eb296142627f,live_supabase,ec4994ce-db50-4406-8f83-eb296142627f,블랙빈 곤약국수,일품,mfds:113,,,public_api,,,,,,11,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:b5d75ffe-b053-48b7-aad4-9996cc2605e9,live_supabase,b5d75ffe-b053-48b7-aad4-9996cc2605e9,이태리튀밥,밥,mfds:1078,,,public_api,,,,,,11,6,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:c56d881f-0e4c-4e64-b02f-47789b9f14e8,live_supabase,c56d881f-0e4c-4e64-b02f-47789b9f14e8,매생이순두부탕,국&찌개,mfds:140,,,public_api,,,,,,9,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:18edd938-6f81-4dd9-a4b6-b2eb522bf2c1,live_supabase,18edd938-6f81-4dd9-a4b6-b2eb522bf2c1,비트무절임,반찬,mfds:146,,,public_api,,,,,,8,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:fdc992bc-789b-40f9-924f-98ad04df0d68,live_supabase,fdc992bc-789b-40f9-924f-98ad04df0d68,함초 냉이 국수,일품,mfds:131,,,public_api,,,,,,17,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:3b4e6d31-84bb-4aa8-944f-8e8770b1bcf1,live_supabase,3b4e6d31-84bb-4aa8-944f-8e8770b1bcf1,양배추감자전,반찬,mfds:181,,,public_api,,,,,,16,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:d1d9b5a6-a9c6-4f23-9871-879aa69435f2,live_supabase,d1d9b5a6-a9c6-4f23-9871-879aa69435f2,된장 두부찌개,국&찌개,mfds:137,,,public_api,,,,,,11,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:f40b458b-e515-4d74-a6ec-20f59b554062,live_supabase,f40b458b-e515-4d74-a6ec-20f59b554062,순두부 사과 소스 오이무침,반찬,mfds:32,,,public_api,,,,,,6,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:73790154-a6c1-4d16-b62a-1a15b4664edf,live_supabase,73790154-a6c1-4d16-b62a-1a15b4664edf,돌나물 샐러드,반찬,mfds:74,,,public_api,,,,,,8,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:242be1bb-ff02-4302-9448-c38bd86bed82,live_supabase,242be1bb-ff02-4302-9448-c38bd86bed82,저염 된장으로 맛을 낸 황태해장국,국&찌개,mfds:36,,,public_api,,,,,,11,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
live_supabase:88454e89-fa88-41e9-8010-e599dac64636,live_supabase,88454e89-fa88-41e9-8010-e599dac64636,된장국,국&찌개,mfds:37,,,public_api,,,,,,8,3,not_reviewed,not_recorded,unresolved,blocked,,,missing,public_api,,,exposed_by_current_rls
